STATES,YEAR,Crop,Area,Production,Annual_Rain,Avg_Temperature,Price,Cost_per_Hectare,Cost_per_quintal,Suicides,Export
ANDAMAN & NICOBAR ISLANDS,2002,Banana,1737.0,12160.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Black pepper,550.0,116.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Cashewnut,800.0,232.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Coconut ,25300.0,94320000.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Dry chillies,652.0,49.7,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Dry ginger,399.3,1278.0,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,Sugarcane,460.0,13800.0,2620.2,25.0,69.5,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Rice,10561.37,30850.87,2355.9,24.72,0.0,0.0,0.0,0.0,2640438.93
ANDAMAN & NICOBAR ISLANDS,2003,Arecanut,4379.0,6707.0,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Banana,1796.0,13321.0,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Black pepper,572.5,120.23,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Cashewnut,833.5,234.64,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Coconut ,25394.74,95240000.0,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Dry chillies,400.0,680.0,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Dry ginger,508.0,1625.6,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,other oilseeds,86.29,35.809999999999995,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Rice,10734.92,29192.23,2460.1,24.74,1150.0,0.0,0.0,0.0,3615109.55
ANDAMAN & NICOBAR ISLANDS,2004,Arecanut,4425.37,4781.05,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Banana,1978.52,17778.52,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Black pepper,655.0,120.22,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Cashewnut,800.0,223.0,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Coconut ,25551.4,87130000.0,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Dry chillies,400.0,968.0,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Dry ginger,528.0,1828.0,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,other oilseeds,90.3,46.61,2460.1,24.74,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Rice,8685.47,25883.04,2954.7,24.58,1170.0,0.0,0.0,0.0,2921601.91
ANDAMAN & NICOBAR ISLANDS,2005,Arecanut,4046.4500000000003,3058.46,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Banana,1678.8,10833.13,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Black pepper,697.45,36.050000000000004,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Cashewnut,568.5,86.02,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Coconut ,20927.02,78460000.0,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Dry chillies,387.7,877.6,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Turmeric,91.7,642.0,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Arecanut,4056.0,5839.299999999999,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Banana,1638.5700000000002,13708.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Black pepper,610.26,212.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Cashewnut,570.0,155.13,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Coconut ,21416.09,88960000.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Dry chillies,363.32,868.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Dry ginger,205.56,1850.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Sugarcane,125.0,2500.0,2404.7,25.06,80.25,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Sweet potato,78.4,546.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Tapioca,347.03,2030.0,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Turmeric,80.5,469.03,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Rice,8390.0,23916.0,3157.1,25.13,2030.0,0.0,0.0,0.0,100685.78
ANDAMAN & NICOBAR ISLANDS,2010,Sugarcane,154.23000000000002,1332.95,3157.1,25.13,139.12,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Arecanut,4152.0,5800.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Black pepper,600.0,120.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Cashewnut,1100.0,310.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Dry chillies,394.0,575.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Dry ginger,211.0,1850.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Maize,163.54000000000002,367.62,3157.1,25.13,880.0,0.0,0.0,0.0,3010423.39
ANDAMAN & NICOBAR ISLANDS,2010,Moong,1200.0,575.5,3157.1,25.13,3170.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Sweet potato,163.0,923.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Turmeric,80.0,482.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Urad,1095.0,475.00000000000006,3157.1,25.13,2900.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Banana,1610.0,16910.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Coconut ,21768.0,95000000.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Tapioca,278.0,2150.0,3157.1,25.13,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2000,other oilseeds,133.0,55.0,2763.2,24.6,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2006,Rice,7776.17,21535.26,2404.7,25.06,1190.0,0.0,0.0,0.0,3702191.99
ANDAMAN & NICOBAR ISLANDS,2006,other oilseeds,59.62,36.379999999999995,2404.7,25.06,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Arhar/Tur,315.0,104.0,3157.1,25.13,3000.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Groundnut,20.25,14.399999999999999,3157.1,25.13,2300.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2010,Sunflower,3.9,2.4,3157.1,25.13,2350.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2002,other oilseeds,85.1,40.31,2620.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2003,Sugarcane,268.0,2879.52,2355.9,24.72,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2004,Sugarcane,145.26,1560.0,2460.1,24.74,74.5,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Dry ginger,200.0,1800.0,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,other oilseeds,53.55,34.2,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Sugarcane,128.02,2448.2,2954.7,24.58,79.5,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Sweet potato,131.9,700.35,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDAMAN & NICOBAR ISLANDS,2005,Tapioca,254.5,1480.0,2954.7,24.58,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Arhar/Tur,254599.0,126443.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Bajra,98323.0,121260.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Castor seed,65812.0,20011.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Cotton(lint),391366.0,647897.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Dry chillies,128056.0,302697.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Gram,166202.0,203844.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Groundnut,1611003.0,1846501.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Horse-gram,59518.0,14094.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Jowar,144689.0,178731.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Korra,30402.0,22015.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Maize,78381.0,300858.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Moong,214047.0,81701.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Onion,18522.0,291642.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Other Kharif pulses,10915.0,3185.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,other misc. pulses,4470.0,1426.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Ragi,78873.0,97994.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Rice,2694741.0,8040667.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Samai,31531.0,13825.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Sesamum,113551.0,25868.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Small millets,63527.0,37046.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Sunflower,163853.0,142794.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Urad,465035.0,355762.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Linseed,58.0,12.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Safflower,4086.0,1271.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Wheat,1492.0,851.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Arecanut,262.0,724.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Banana,46908.0,780053.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Coconut ,101495.0,1080801901.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Coriander,49771.0,17730.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Potato,1104.0,9434.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Sugarcane,172211.0,13558629.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Sweet potato,1781.0,23345.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Tobacco,43059.0,74205.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2000,Turmeric,15718.0,83015.0,931.8,24.6,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Arhar/Tur,192046.0,95620.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Bajra,55178.0,54063.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Castor seed,33921.0,9512.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Cotton(lint),346542.0,727872.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Dry chillies,126716.0,363706.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Gram,245322.0,319094.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Groundnut,1454023.0,1000135.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Horse-gram,61060.0,32624.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Jowar,130047.0,174845.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Korra,24451.0,17967.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Maize,58185.0,271122.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Moong,174408.0,61158.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Onion,19951.0,306453.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Other Kharif pulses,9843.0,3253.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Ragi,71342.0,89166.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Rice,2515353.0,7823692.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Small millets,54845.0,33390.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Sunflower,238944.0,197711.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Urad,520093.0,344203.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Linseed,26.0,6.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Other  Rabi pulses,2454.0,1839.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Safflower,5831.0,1287.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Sesamum,73558.0,15287.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Wheat,1629.0,1126.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Arecanut,268.0,449.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Banana,48136.0,728624.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Coconut ,103095.0,1112803770.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Coriander,49230.0,18440.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Sugarcane,163010.0,13383359.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Sweet potato,1826.0,24230.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Tobacco,116357.0,145181.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2001,Turmeric,12501.0,56147.0,966.9,24.73,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Arhar/Tur,197256.0,62327.0,659.2,25.0,1325.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Bajra,52650.0,41221.0,659.2,25.0,495.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Castor seed,21824.0,4383.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Cotton(lint),254844.0,389255.0,659.2,25.0,3590.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Dry chillies,125127.0,233089.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Groundnut,1275160.0,660124.0,659.2,25.0,1375.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Horse-gram,66367.0,25521.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Jowar,157119.0,175396.0,659.2,25.0,490.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Korra,16000.0,10100.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Maize,74813.0,323168.0,659.2,25.0,490.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Moong,170471.0,37020.0,659.2,25.0,1335.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Onion,17855.0,230263.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Other Kharif pulses,3010.0,936.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Ragi,60455.0,64258.0,659.2,25.0,490.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Rice,1867142.0,5315408.0,659.2,25.0,1130.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Small millets,46053.0,21646.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Soyabean,2439.0,0.0,659.2,25.0,1700.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Sunflower,378688.0,247547.0,659.2,25.0,1210.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Urad,585265.0,327156.0,659.2,25.0,1335.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Gram,332212.0,310136.0,659.2,25.0,1225.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Linseed,24.0,7.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Safflower,4361.0,983.0,659.2,25.0,1305.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Wheat,1411.0,1302.0,659.2,25.0,630.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Arecanut,296.0,427.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Banana,37079.0,972140.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Beans & Mutter(Vegetable),6026.0,30601.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Bhindi,13374.0,99279.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Brinjal,13814.0,191534.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Citrus Fruit,38219.0,173405.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Coconut ,104162.0,1146260639.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Coriander,37766.0,10668.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Cucumber,3196.0,0.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Grapes,147.0,2748.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Mango,249565.0,1105534.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Orange,31598.0,390880.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,other fibres,6400.0,0.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Other Fresh Fruits,12479.0,27760.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Other Vegetables,21815.0,0.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Papaya,5774.0,753197.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Pome Fruit,5164.0,107036.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Potato,1290.0,11196.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Sugarcane,176263.0,11755368.0,659.2,25.0,69.5,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Sweet potato,1228.0,12754.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Tobacco,109706.0,147869.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2002,Tomato,53939.0,386598.0,659.2,25.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Arhar/Tur,249027.0,87864.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Bajra,94859.0,121690.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Castor seed,35273.0,14665.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Cotton(lint),314708.0,814512.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Dry chillies,140114.0,521618.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Groundnut,1297234.0,762507.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Horse-gram,62969.0,32921.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Jowar,215392.0,369328.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Korra,20525.0,16201.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Maize,121231.0,494969.0,911.15,24.72,0.0,0.0,0.0,0.0,543270.88
ANDHRA PRADESH,2003,Moong,309923.0,129913.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Onion,18589.0,279325.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Other Kharif pulses,3629.0,1282.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Ragi,65509.0,86391.0,911.15,24.72,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,2003,Rice,1957323.0,6054099.0,911.15,24.72,0.0,0.0,0.0,0.0,2640438.93
