Crop,State/ UT Name,Cost of Cultivation (`/Hectare) - A2+FL - 2008-09,Cost of Cultivation (`/Hectare) - A2+FL - 2009-10,Cost of Cultivation (`/Hectare) - A2+FL - 2010-11,Cost of Cultivation (`/Hectare) - A2+FL - 2011-12,Cost of Cultivation (`/Hectare) - A2+FL - 2012-13,Cost of Cultivation (`/Hectare) - A2+FL - 2013-14,Cost of Cultivation(`/Hectare) - C2 - 2008-09,Cost of Cultivation(`/Hectare) - C2 - 2009-10,Cost of Cultivation(`/Hectare) - C2 - 2010-11,Cost of Cultivation(`/Hectare) - C2 - 2011-12,Cost of Cultivation (`/Hectare) - C2 - 2012-13,Cost of Cultivation (`/Hectare) - C2 - 2013-14,Cost of Production (`/Quintal) - C2 - 2008-09,Cost of Production (`/Quintal) - C2 - 2009-10,Cost of Production (`/Quintal) - C2 - 2010-11,Cost of Production (`/Quintal) - C2 - 2011-12,Cost of Production (`/Quintal) - C2 - 2012-13,Cost of Production (`/Quintal) - C2 - 2013-14
Rapeseed And Mustard,Gujarat,13740.64,15175.53,16659.48,17923.91,20310.55,26043.66,19083.55,22743.47,25410.16,30804.92,30352.12,38209.57,1610.4,1416.38,1359.44,1779.16,2040.49,2122.38
Rapeseed And Mustard,Haryana,14715.27,16573.39,14120.12,18439.97,23057.07,27149.3,27507.54,30753.93,29583.16,41935.26,45678.6,46916.04,1251.12,1555.52,1305.96,2045.9,2720.84,2566.65
Rapeseed And Mustard,Madhya Pradesh,8686.43,9341.63,10554.61,15084.43,16618.33,17513,17705.93,18682.26,22649.54,28892.26,32829.58,32182.5,1279.6,1361.6,1340.27,1960.58,1990.33,1907.18
Rapeseed And Mustard,Rajasthan,11385.7,11703.04,11767.67,16846.85,20205.85,22322.89,19259.84,20807.48,20829.25,28041.38,31256.29,33142.03,1341.29,1357.13,1238.71,2238.94,2356.58,2395.48
Rapeseed And Mustard,Uttar Pradesh,12774.41,12183.16,13667.83,17560.2,21030.03,23601.05,22560.3,24408.12,26766.64,31252.97,35731.08,39658.1,1595.56,1482.13,1569.88,2694.2,2567.39,2862.76
Cotton,Andhra Pradesh,29140.77,27204.15,28861.62,38772.5,50948.24,56853.57,44756.72,42919.36,49401.41,61634,70609.51,83491.53,2509.99,2406.53,3305.52,3557.48,4088.93,4252.82
Cotton,Gujarat,29616.09,29559.06,34552,41468.38,41873.4,50667.14,42070.44,42295.36,53725.77,58037.88,54769.45,70673.49,2179.26,2225.45,2414.76,3267.52,4346.97,3344.53
Cotton,Haryana,29918.97,31895.29,29345.24,38803.42,43798.59,47538.8,44018.18,48920.33,46815.11,62329.97,67129.55,69750.63,2127.35,2413.61,2800.54,3229.48,3795.99,4182.82
Cotton,Maharashtra,23711.44,26407.55,38359.33,45743.38,54030.37,55242.69,33116.82,35822.07,52583.55,61907.49,71079.73,73232.07,2539.47,2671.66,3603.2,3985.05,4120.27,4036.48
Cotton,Punjab,29047.1,30055.9,31178.78,41380.69,46363.91,47485.07,50828.83,53071.62,59282.06,66697.56,73475.32,74406.8,2003.76,2354,2947.32,3759.44,3744.83,4073.29
Sugarcane,Andhra Pradesh,56621.16,61278.53,76696.87,78442.1,61322.72,54421.18,91442.63,103157.5,127319,124488.9,92530.18,106155.54,119.72,130.27,149.75,183.49,161.82,147.94
Sugarcane,Karnataka,55655.44,36366.67,49183.9,59069.94,54027.16,72160.4,86765.77,87597.81,86276.15,94585.62,97193.91,113950.26,86.53,133.25,93.02,122.96,130.74,130.74
Sugarcane,Maharashtra,57673.6,74221.59,87114.96,102289.82,113941.55,122361.74,85801.95,127304.6,128996.6,146726.7,167008.63,170931,107.56,121.23,124.41,138.64,152.59,152.53
Sugarcane,Tamil Nadu,66335.06,72426.99,89583.62,105074.87,123842.79,120757.83,89025.27,97335.86,113058.6,133840.6,158319.18,160072.5,85.79,100,110.55,128.45,150.22,163.76
Sugarcane,Uttar Pradesh,24538.32,28398.06,38327.1,43129.23,51047.9,47953.83,45239.51,56283.73,66799.17,78549.41,88650.3,86125.78,93.64,105.56,124.3,141.13,158.21,165.24
