,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,
Milled Products,563113.51,36772.66,150262.78,15733.24,56920.27,7393.6,76167.57,10423.4,86687.87,12603.43,58406.64,10989.01,72744.36,15362.95,99101.24,19706.3,171158.13,35890.14,273584.39,60360.8,418397.99,100576.93,415984.45,101909.43
Fresh Grapes,26469.63,10368.38,38898.34,12643.8,53908.3,21382.86,85562.88,30058.49,96723.21,31706.78,118132.93,36706,117337.53,43106.53,92437.11,39101.3,94860.03,51675.64,140966.57,98204.38,160256.26,143706.98,94377.41,97276.92
Cocoa Products,1688.37,1614.58,2313.3,2765.63,2525.11,2430.59,3412.21,4011.65,4979.27,4225.84,6831.9,8403.91,5863.88,9699.45,9077.54,12696.83,16678.58,17597.61,19083.34,29392.13,15962.95,57078.03,20877.7,84865.67
Mango Pulp,89514.84,24198.57,95857,31571.94,134613.2,36424.12,156835.51,50582.79,166752.17,50968.51,173013.6,75298.9,186197.85,74460.77,170219.72,81893.27,150499.06,62082.91,147815.69,60855.73,174860.33,77294.76,154820.66,84138.54
Sheep/Goat Meat,16820.53,11038.56,9024.49,8127.43,7242.47,8088.07,5775.22,6584.26,8640.92,13204.28,37238.17,48894.06,52387.9,73989.89,12250.55,25799.15,10085.04,24361.67,14890.82,41831.14,20425.85,67957.68,22827.77,82153.84
Poultry Products,415228.17,20239.82,1062265.65,28774.23,1185279.65,31653.03,711245.67,31817.08,1355246.31,44108.55,1057032.7,42210.13,1016797.28,37252.91,516754.71,31433.28,624181.11,45805.29,577864.27,49493.41,437673.53,56587.37,556698.81,65119.18
Natural Honey,6964.29,6808.94,10523.24,6826.84,16769.23,11621.79,8135.6,6091.63,12231.19,9329.64,15587.53,14896.37,13310.77,14665.42,25979.21,30086.76,26089.03,32123.96,25780.7,35632.05,28378.4,44501.46,29578.56,53509.97
Floriculture,30659.53,24954.8,27769.06,22110.99,35457.45,30144.64,42545.28,65269.73,36240.71,34014.42,30798.33,36881.41,26814.52,29446.36,28906.79,29604.04,30926.02,36532.15,27121.86,42344.6,22485.21,45590.62,22947.27,46077.23
Casein,0,0,0,0,0,0,0,0,0,0,8387.53,32169.39,8300.73,24764.91,10583.01,36791.77,838.66,3719.76,13650.78,55625.72,11461.71,63692.84,8168.05,42853.42
Fruits & Vegetables Seeds,5169.83,5359.6,6726.58,6601.04,7522.14,9295.63,8104.09,12158.95,10157.13,14212.29,8535.53,11999.09,8883.86,14507.51,11622.33,18491.77,15205.81,28776.35,17168,34772.39,17816.7,41053.76,12499.31,42703.8
Fresh Mangoes,60551.32,11051.9,53480.02,8961.06,69606.6,12811.12,79060.88,14193.95,54350.8,12741.76,83703.18,17071.25,74460.61,20053.98,58863.41,16483.6,63441.29,20974.3,55584.99,26471.78,41279.97,28542.85,42998.33,30253.66
Albumin( Eggs & Milk ),0,0,0,0,0,0,0,0,0,0,1025.17,3761.1,1159.56,3822.82,1235,3954.66,1454.31,5302.71,1663.83,9016.14,2025.32,13163.79,2125.02,16118.53
Walnuts,6301.23,9929.94,5851.16,9621.92,5256.56,11447.33,5061.56,11802.43,6692.07,16203.14,5696.33,14123.59,9071.71,19780.37,5753.73,16609.71,5828.74,23098.52,5295.09,19982.13,6724.48,32442.46,2663.03,13639.38
Others (Betel Leaves & Nuts),2154.09,1394.3,3804.82,2204.73,3390.94,2456.59,5338.03,2200.38,1821.33,977.51,1847.08,1236.43,1654.31,950.87,3123.62,1724.58,2472.04,2008.76,5455.67,3514.9,5685.08,7036.13,9031.31,12300.97
Animal Casings,732.84,1243.09,552.73,1263.99,1125.82,1751.33,435.98,950.65,619.68,684.14,1823.72,884.32,2020.56,3152.74,1804.72,3323.61,923.56,2705.01,602.53,1837.08,352.2,2845.84,260.15,1933.25
Processed Meat,986.13,763.08,1359.7,944.85,341.31,318.13,832.86,688.26,497.02,419.61,431.91,493.32,675.18,902.98,922.2,1395.53,575.94,949.53,796.92,937.41,488.78,691.75,406.11,1419.71
Other Meat,0,0,0,0,320.7,207.38,1523.47,865.3,1710.89,2463.69,817.82,917.23,1120.77,1058.21,1010.71,948.46,305.97,351.42,180.75,215.9,255.23,323.43,261.92,267.17
